"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Mar 13 13:27:29 UZT 2022","Sun Mar 13 13:27:29 UZT 2022","4","","Bring It On","","Bring It On","Check that the code matches the one entered in paragraph 2","Check that the code matches the one entered in paragraph 2",""
"passed","Sun Mar 13 13:27:20 UZT 2022","Sun Mar 13 13:27:26 UZT 2022","5484","","Bring It On","","Bring It On","Open pastebin page","Open pastebin page",""
"passed","Sun Mar 13 13:27:27 UZT 2022","Sun Mar 13 13:27:27 UZT 2022","155","","Bring It On","","Bring It On","Paste Expiration: 10 Minutes","Paste Expiration: 10 Minutes",""
"passed","Sun Mar 13 13:27:28 UZT 2022","Sun Mar 13 13:27:29 UZT 2022","1749","","Bring It On","","Bring It On","Syntax is suspended for bash","Syntax is suspended for bash",""
"passed","Sun Mar 13 13:27:49 UZT 2022","Sun Mar 13 13:27:49 UZT 2022","4","","I Can Win","","I Can Win","Should have expiration time","Should have expiration time",""
"passed","Sun Mar 13 13:27:27 UZT 2022","Sun Mar 13 13:27:27 UZT 2022","559","","Bring It On","","Bring It On","Paste Title: how to gain dominance among developers","Paste Title: how to gain dominance among developers",""
"passed","Sun Mar 13 13:27:27 UZT 2022","Sun Mar 13 13:27:28 UZT 2022","133","","Bring It On","","Bring It On","Press 'Create New Paste' button","Press 'Create New Paste' button",""
"passed","Sun Mar 13 13:27:49 UZT 2022","Sun Mar 13 13:27:49 UZT 2022","4","","I Can Win","","I Can Win","Should have paste text inserted","Should have paste text inserted",""
"passed","Sun Mar 13 13:27:48 UZT 2022","Sun Mar 13 13:27:48 UZT 2022","333","","I Can Win","","I Can Win","Paste Expiration: 10 Minutes","Paste Expiration: 10 Minutes",""
"passed","Sun Mar 13 13:27:49 UZT 2022","Sun Mar 13 13:27:49 UZT 2022","79","","I Can Win","","I Can Win","Should have page title","Should have page title",""
"passed","Sun Mar 13 13:27:26 UZT 2022","Sun Mar 13 13:27:27 UZT 2022","259","","Bring It On","","Bring It On","Set syntax highlighting","Set syntax highlighting",""
"passed","Sun Mar 13 13:27:48 UZT 2022","Sun Mar 13 13:27:49 UZT 2022","65","","I Can Win","","I Can Win","Press 'Create New Paste' button","Press 'Create New Paste' button",""
"passed","Sun Mar 13 13:27:48 UZT 2022","Sun Mar 13 13:27:48 UZT 2022","197","","I Can Win","","I Can Win","Paste Title: helloweb","Paste Title: helloweb",""
"passed","Sun Mar 13 13:27:26 UZT 2022","Sun Mar 13 13:27:26 UZT 2022","561","","Bring It On","","Bring It On","Create a New Paste","Create a New Paste",""
"passed","Sun Mar 13 13:27:32 UZT 2022","Sun Mar 13 13:27:39 UZT 2022","6782","","My Login application","","My Login application","should login with valid credentials","should login with valid credentials",""
"passed","Sun Mar 13 13:27:48 UZT 2022","Sun Mar 13 13:27:48 UZT 2022","173","","I Can Win","","I Can Win","Create a New Paste","Create a New Paste",""
"passed","Sun Mar 13 13:27:42 UZT 2022","Sun Mar 13 13:27:48 UZT 2022","6144","","I Can Win","","I Can Win","Open pastebin page","Open pastebin page",""
"passed","Sun Mar 13 13:27:28 UZT 2022","Sun Mar 13 13:27:28 UZT 2022","71","","Bring It On","","Bring It On","Should have page title","Should have page title",""
